function	1103_V2_D1_pb	1103_V6_D29_pb	2103_V2_D1_pb	2103_V6_D29_pb	2202_V2_D1_pb	2202_V5_D22_pb	3204_V2_D1_pb	3204_V6_D29_pb	3216_V2_D1_pb	3216_V6_D29_pb	3218_V2_D1_pb
EC:1.15.1.2	710	316	745	474	169	292	251	298	314	390	322
EC:1.16.3.2	147	284	278	222	13	264	67	169	56	137	367
EC:1.17.4.2	0	0	0	0	0	0	0	0	1	0	0
EC:1.18.1.2	0	1	0	0	4	0	0	1	0	0	0
EC:1.21.4.2	6	0	1	0	1	5	45	58	1	0	7
EC:2.1.2.2	889	634	890	867	546	623	528	458	324	570	820
EC:2.1.3.2	1132	601	1031	851	499	528	844	892	434	499	750
EC:2.2.1.2	1214	775	1557	1251	595	770	1361	1148	616	707	858
EC:2.4.2.2	511	264	443	217	175	353	238	163	262	137	340
EC:2.6.99.2	38	145	226	214	3	145	10	44	8	16	220
EC:2.7.1.2	1098	981	1402	1265	774	1075	902	873	697	796	1271
EC:2.7.2.2	1282	614	629	581	437	409	782	727	326	450	426
EC:2.7.4.2	2	2	12	5	2	1	1	7	16	6	0
EC:2.7.6.2	918	592	899	785	455	471	615	478	433	511	628
EC:2.7.7.2	0	0	0	0	0	0	0	0	14	99	0
EC:2.7.9.2	114	54	122	128	5	2	21	16	45	218	1
EC:2.7.10.2	19	42	55	18	0	1	4	18	8	4	74
EC:2.7.11.2	0	2	0	0	0	0	0	0	0	0	0
EC:3.1.3.2	44	99	41	7	2	54	13	4	1	1	39
EC:3.1.7.2	230	110	45	49	23	26	0	3	23	37	57
EC:3.1.11.2	1006	560	1054	848	638	546	850	834	507	754	737
EC:3.1.21.2	1083	610	770	657	414	388	585	479	280	446	490
EC:3.3.2.2	8	9	0	5	0	4	0	0	0	3	16
EC:3.4.11.2	185	156	375	308	257	171	145	102	167	356	340
EC:3.4.25.2	220	37	61	78	0	3	5	7	1	9	3
EC:3.5.1.2	132	282	165	97	25	248	27	64	50	15	328
EC:3.5.2.2	326	150	118	142	202	67	31	42	103	275	94
EC:3.5.4.2	369	319	589	315	397	468	280	285	384	536	446
EC:3.5.99.2	117	25	244	267	17	25	3	2	119	298	119
EC:3.8.1.2	66	44	191	138	29	61	23	76	125	223	170
EC:3.9.1.2	0	0	1	3	1	0	0	0	3	3	0
EC:4.1.1.2	0	0	0	0	0	0	0	0	2	0	0
EC:4.1.99.2	0	5	4	2	0	19	1	38	1	0	28
EC:4.2.1.2	2121	1195	1956	1775	744	1248	2189	1833	954	1158	1586
EC:4.2.2.2	0	3	6	1	0	0	1	0	2	0	0
EC:4.3.1.2	11	28	3	5	0	0	8	20	0	6	2
EC:4.3.2.2	1939	1009	1870	1464	859	1069	1249	1260	732	1063	1174
EC:4.6.1.2	0	1	0	0	0	0	0	0	0	0	0
EC:5.1.3.2	1826	1158	2021	1590	1161	1321	2013	1693	1256	1324	1499
EC:5.3.3.2	91	45	19	8	47	86	17	20	34	104	37
EC:5.4.2.2	1870	1226	1832	1337	1063	1125	1273	1175	830	970	1348
EC:5.4.3.2	36	148	85	52	7	173	16	21	20	15	247
EC:5.4.4.2	54	134	79	41	10	177	32	55	17	9	184
EC:5.4.99.2	832	444	584	469	23	464	30	124	42	28	560
EC:5.6.2.2	6039	3690	6681	5018	3606	3848	5086	4926	2780	3713	4491
EC:6.1.1.2	1373	837	1669	1209	697	753	1092	1040	579	812	972
EC:6.3.1.2	3089	1929	3272	2592	1492	1858	2273	2167	1139	1628	2253
EC:6.3.2.2	162	53	219	193	196	101	140	88	123	320	166
EC:6.3.3.2	866	389	785	721	483	434	585	491	213	234	437
EC:6.3.4.2	1575	800	1799	1474	736	995	1190	1054	712	948	1110
EC:6.3.5.2	1783	1084	2141	1738	1141	1233	2258	1836	956	1356	1423
EC:6.5.1.2	2479	1349	1222	1008	764	776	3529	2874	588	803	858
EC:6.6.1.2	53	179	246	144	7	241	17	23	27	37	176
EC:7.1.1.2	1251	1266	1355	1279	385	1261	646	1075	373	471	1418
EC:7.1.2.2	196	170	234	210	3	126	8	6	81	188	289
EC:7.2.1.2	2353	1655	2472	1860	1094	1538	2279	2306	1037	977	1767
EC:7.2.4.2	1267	657	1291	733	413	819	979	1017	536	329	665
EC:7.3.2.2	36	94	14	44	18	48	35	40	49	6	60
EC:7.6.2.2	81	30	50	25	20	28	42	59	30	59	29
EC:1.1.1.3	1501	744	1131	919	707	568	1000	1003	629	893	808
EC:1.1.2.3	27	13	2	0	2	0	9	2	0	0	0
EC:1.1.5.3	961	545	635	602	377	344	727	636	324	346	428
EC:1.1.98.3	0	0	0	0	0	0	0	0	0	3	0
EC:1.2.1.3	355	169	451	500	426	187	183	166	117	336	213
EC:1.2.3.3	7	2	12	1	0	1	1	4	5	4	0
EC:1.2.5.3	1190	506	876	463	257	483	602	532	410	225	310
EC:1.2.7.3	545	393	446	368	26	329	89	121	74	156	513
EC:1.3.1.3	0	1	0	0	0	0	0	0	0	0	0
EC:1.3.3.3	9	2	0	0	0	0	1	0	0	0	0
EC:1.3.5.3	37	47	20	13	4	56	16	8	18	72	29
EC:1.3.98.3	707	413	362	349	175	235	152	171	224	202	341
EC:1.4.1.3	13	12	109	118	30	36	23	43	51	12	3
EC:1.5.1.3	562	406	580	660	357	336	259	323	300	495	477
