taxlevel	rankID	taxon	daughterlevels	total	1103_V2_D1_CTAB_DNA	1103_V2_D1_PowerFecal_DNA	1103_V2_D1_R1	1103_V2_D1_R2	1103_V6_D29_CTAB_DNA	1103_V6_D29_PowerFecal_DNA	1103_V6_D29_R1	1103_V6_D29_R2	2103_V2_D1_CTAB_DNA	2103_V2_D1_PowerFecal_DNA	2103_V2_D1_R1	2103_V2_D1_R2	2103_V6_D29_CTAB_DNA	2103_V6_D29_PowerFecal_DNA	2103_V6_D29_R1	2103_V6_D29_R2	2202_V2_D1_CTAB_DNA	2202_V2_D1_PowerFecal_DNA	2202_V2_D1_R1	2202_V2_D1_R2	2202_V5_D22_CTAB_DNA	2202_V5_D22_PowerFecal_DNA	2202_V5_D22_R1	2202_V5_D22_R2	3204_V2_D1_CTAB_DNA	3204_V2_D1_PowerFecal_DNA	3204_V2_D1_R1	3204_V2_D1_R2	3204_V6_D29_CTAB_DNA	3204_V6_D29_PowerFecal_DNA	3204_V6_D29_R1	3204_V6_D29_R2	3216_V2_D1_CTAB_DNA	3216_V2_D1_PowerFecal_DNA	3216_V2_D1_R1	3216_V2_D1_R2	3216_V6_D29_CTAB_DNA	3216_V6_D29_PowerFecal_DNA	3216_V6_D29_R1	3216_V6_D29_R2	3218_V2_D1_CTAB_DNA	3218_V2_D1_PowerFecal_DNA	3218_V2_D1_R1	3218_V2_D1_R2	3218_V6_D29_CTAB_DNA	3218_V6_D29_PowerFecal_DNA	3218_V6_D29_R1	3218_V6_D29_R2
5	0.1.11.2.1.1	Betaproteobacteria unclassified	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0
5	0.1.11.2.2.1	Alcaligenaceae	6	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	3	0	0	4	5	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0
5	0.1.11.2.2.2	Burkholderiaceae	10	1447	0	0	0	0	0	0	1	0	7	0	1	8	0	0	0	0	0	1	1	0	2	1	1	0	28	10	234	160	7	66	228	564	0	1	0	0	0	0	0	0	0	29	62	28	0	1	2	3
5	0.1.11.2.2.3	Burkholderiales unclassified	1	3018	1	0	0	0	0	1	0	0	0	1	3	4	0	2	1	0	5	11	1	5	23	18	52	14	46	28	198	171	22	89	257	440	1	2	0	0	0	0	1	0	24	359	719	457	3	25	10	24
5	0.1.11.2.2.4	Comamonadaceae	6	49	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	3	1	1	2	2	1	1	1	0	0	0	0	0	0	0	0	0	1	2	4	0	0	0	1
5	0.1.11.2.2.5	Oxalobacteraceae	4	71	0	0	0	0	0	0	0	2	4	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	9	1	0	2	8	14	0	0	0	0	0	3	0	0	0	5	12	6	0	0	0	0
5	0.1.11.2.2.6	Sutterellaceae	5	1874	0	0	5	0	0	4	2	0	30	9	9	8	0	4	4	2	4	3	1	2	13	8	51	21	8	5	12	18	5	17	31	35	0	0	0	0	0	1	0	0	54	313	695	471	6	5	6	10
5	0.1.11.2.2.7	Unknown	2	913	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	0	1	4	1	1	8	10	11	3	13	9	81	62	4	30	53	150	0	0	1	0	0	0	0	0	14	117	191	128	1	7	1	6
5	0.1.11.2.3.1	Chromobacteriaceae	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0
5	0.1.11.2.3.2	Neisseriaceae	2	15	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0
5	0.1.11.2.3.3	Neisseriales unclassified	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5	0.1.11.2.4.1	Sterolibacteriaceae	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
5	0.1.11.2.5.1	Zoogloeaceae	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.11.3.1.1	Desulfobacteraceae	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.11.3.2.1	Desulfovibrionaceae	5	752	0	0	0	0	7	2	5	4	148	44	135	47	5	35	108	29	0	0	0	0	0	0	0	0	10	35	41	6	0	2	2	1	0	2	0	0	6	6	1	0	0	8	6	16	3	17	1	19
5	0.1.11.3.3.1	Geobacteraceae	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
5	0.1.11.4.1.1	Campylobacteraceae	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
